"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2025 05:30 - 01/01/2025 05:45","BZN|DE-LU","43578.38","41919.60"
"01/01/2025 05:45 - 01/01/2025 06:00","BZN|DE-LU","43415.44","42261.64"
"01/01/2025 06:00 - 01/01/2025 06:15","BZN|DE-LU","43645.45","42753.26"
"01/01/2025 06:15 - 01/01/2025 06:30","BZN|DE-LU","43945.55","43179.20"
"01/01/2025 06:30 - 01/01/2025 06:45","BZN|DE-LU","44073.66","43648.60"
"01/01/2025 06:45 - 01/01/2025 07:00","BZN|DE-LU","44225.36","44287.25"
"01/01/2025 07:00 - 01/01/2025 07:15","BZN|DE-LU","45529.98","44980.81"
"01/01/2025 07:15 - 01/01/2025 07:30","BZN|DE-LU","46027.12","45463.74"
"01/01/2025 07:30 - 01/01/2025 07:45","BZN|DE-LU","46244.98","46665.16"
"01/01/2025 07:45 - 01/01/2025 08:00","BZN|DE-LU","46647.24","47255.49"
"01/01/2025 08:00 - 01/01/2025 08:15","BZN|DE-LU","47350.81","49064.42"
"01/01/2025 08:15 - 01/01/2025 08:30","BZN|DE-LU","47799.15","50169.06"
"01/01/2025 08:30 - 01/01/2025 08:45","BZN|DE-LU","48307.22","50915.12"
"01/01/2025 08:45 - 01/01/2025 09:00","BZN|DE-LU","49104.50","51330.08"
"01/01/2025 09:00 - 01/01/2025 09:15","BZN|DE-LU","49838.42","52035.25"
"01/01/2025 09:15 - 01/01/2025 09:30","BZN|DE-LU","50394.77","52393.33"
"01/01/2025 09:30 - 01/01/2025 09:45","BZN|DE-LU","50682.46","52390.18"
"01/01/2025 09:45 - 01/01/2025 10:00","BZN|DE-LU","51345.20","52823.68"
"01/01/2025 10:00 - 01/01/2025 10:15","BZN|DE-LU","51941.84","53362.16"
"01/01/2025 10:15 - 01/01/2025 10:30","BZN|DE-LU","52481.40","53994.13"
"01/01/2025 10:30 - 01/01/2025 10:45","BZN|DE-LU","52896.73","54202.66"
"01/01/2025 10:45 - 01/01/2025 11:00","BZN|DE-LU","53029.77","54085.72"
"01/01/2025 11:00 - 01/01/2025 11:15","BZN|DE-LU","53587.95","53916.77"
"01/01/2025 11:15 - 01/01/2025 11:30","BZN|DE-LU","53597.00","53626.05"
"01/01/2025 11:30 - 01/01/2025 11:45","BZN|DE-LU","53642.01","53627.76"
"01/01/2025 11:45 - 01/01/2025 12:00","BZN|DE-LU","53748.90","53389.04"
"01/01/2025 12:00 - 01/01/2025 12:15","BZN|DE-LU","53331.12","53280.77"
"01/01/2025 12:15 - 01/01/2025 12:30","BZN|DE-LU","52326.86","52633.32"
"01/01/2025 12:30 - 01/01/2025 12:45","BZN|DE-LU","52063.63","52276.34"
"01/01/2025 12:45 - 01/01/2025 13:00","BZN|DE-LU","51783.03","51882.87"
"01/01/2025 13:00 - 01/01/2025 13:15","BZN|DE-LU","51544.53","51883.01"
"01/01/2025 13:15 - 01/01/2025 13:30","BZN|DE-LU","51212.07","51464.08"
"01/01/2025 13:30 - 01/01/2025 13:45","BZN|DE-LU","51146.61","51128.00"
"01/01/2025 13:45 - 01/01/2025 14:00","BZN|DE-LU","51156.98","50907.45"
"01/01/2025 14:00 - 01/01/2025 14:15","BZN|DE-LU","52151.92","50674.90"
"01/01/2025 14:15 - 01/01/2025 14:30","BZN|DE-LU","52192.48","50719.54"
"01/01/2025 14:30 - 01/01/2025 14:45","BZN|DE-LU","52282.54","50743.17"
"01/01/2025 14:45 - 01/01/2025 15:00","BZN|DE-LU","52699.94","50883.08"
"01/01/2025 15:00 - 01/01/2025 15:15","BZN|DE-LU","53307.96","51103.56"
"01/01/2025 15:15 - 01/01/2025 15:30","BZN|DE-LU","53774.25","51275.26"
"01/01/2025 15:30 - 01/01/2025 15:45","BZN|DE-LU","54721.25","51521.99"
"01/01/2025 15:45 - 01/01/2025 16:00","BZN|DE-LU","55951.11","52006.70"
"01/01/2025 16:00 - 01/01/2025 16:15","BZN|DE-LU","55625.10","52689.36"
"01/01/2025 16:15 - 01/01/2025 16:30","BZN|DE-LU","56061.30","53179.88"
"01/01/2025 16:30 - 01/01/2025 16:45","BZN|DE-LU","56596.03","53954.60"
"01/01/2025 16:45 - 01/01/2025 17:00","BZN|DE-LU","56951.15","54173.76"
"01/01/2025 17:00 - 01/01/2025 17:15","BZN|DE-LU","57033.78","54724.59"
"01/01/2025 17:15 - 01/01/2025 17:30","BZN|DE-LU","56602.75","54914.94"
"01/01/2025 17:30 - 01/01/2025 17:45","BZN|DE-LU","56392.64","54817.61"
"01/01/2025 17:45 - 01/01/2025 18:00","BZN|DE-LU","55841.28","54637.99"
"01/01/2025 18:00 - 01/01/2025 18:15","BZN|DE-LU","55985.21","54922.96"
"01/01/2025 18:15 - 01/01/2025 18:30","BZN|DE-LU","55403.67","53970.46"
"01/01/2025 18:30 - 01/01/2025 18:45","BZN|DE-LU","55228.42","53613.50"
"01/01/2025 18:45 - 01/01/2025 19:00","BZN|DE-LU","54552.95","53144.27"
"01/01/2025 19:00 - 01/01/2025 19:15","BZN|DE-LU","53754.08","52546.29"
"01/01/2025 19:15 - 01/01/2025 19:30","BZN|DE-LU","53491.22","51749.76"
"01/01/2025 19:30 - 01/01/2025 19:45","BZN|DE-LU","52858.66","51020.41"
"01/01/2025 19:45 - 01/01/2025 20:00","BZN|DE-LU","52074.72","50590.88"
"01/01/2025 20:00 - 01/01/2025 20:15","BZN|DE-LU","52034.79","50118.36"
"01/01/2025 20:15 - 01/01/2025 20:30","BZN|DE-LU","51569.79","49817.62"
"01/01/2025 20:30 - 01/01/2025 20:45","BZN|DE-LU","50853.98","49465.18"
"01/01/2025 20:45 - 01/01/2025 21:00","BZN|DE-LU","50263.85","49267.55"
"01/01/2025 21:00 - 01/01/2025 21:15","BZN|DE-LU","49945.39","50263.63"
"01/01/2025 21:15 - 01/01/2025 21:30","BZN|DE-LU","49688.93","49916.03"
"01/01/2025 21:30 - 01/01/2025 21:45","BZN|DE-LU","48807.22","49700.53"
"01/01/2025 21:45 - 01/01/2025 22:00","BZN|DE-LU","47887.02","49152.67"
"01/01/2025 22:00 - 01/01/2025 22:15","BZN|DE-LU","47561.74","48406.80"
"01/01/2025 22:15 - 01/01/2025 22:30","BZN|DE-LU","47255.18","47855.00"
"01/01/2025 22:30 - 01/01/2025 22:45","BZN|DE-LU","45914.34","47355.97"
"01/01/2025 22:45 - 01/01/2025 23:00","BZN|DE-LU","45122.11","46729.92"
"01/01/2025 23:00 - 01/01/2025 23:15","BZN|DE-LU","45318.29","46229.72"
"01/01/2025 23:15 - 01/01/2025 23:30","BZN|DE-LU","45061.48","45582.08"
"01/01/2025 23:30 - 01/01/2025 23:45","BZN|DE-LU","44118.45","45231.42"
"01/01/2025 23:45 - 02/01/2025 00:00","BZN|DE-LU","43669.70","44741.46"
"02/01/2025 00:00 - 02/01/2025 00:15","BZN|DE-LU","42758.12","44063.35"
"02/01/2025 00:15 - 02/01/2025 00:30","BZN|DE-LU","42553.66","43790.69"
"02/01/2025 00:30 - 02/01/2025 00:45","BZN|DE-LU","42363.51","43542.86"
"02/01/2025 00:45 - 02/01/2025 01:00","BZN|DE-LU","42219.42","43263.33"
"02/01/2025 01:00 - 02/01/2025 01:15","BZN|DE-LU","41688.94","43010.25"
"02/01/2025 01:15 - 02/01/2025 01:30","BZN|DE-LU","41675.94","42782.26"
"02/01/2025 01:30 - 02/01/2025 01:45","BZN|DE-LU","41473.05","42888.75"
"02/01/2025 01:45 - 02/01/2025 02:00","BZN|DE-LU","41745.07","43025.76"
"02/01/2025 02:00 - 02/01/2025 02:15","BZN|DE-LU","41402.30","43395.68"
"02/01/2025 02:15 - 02/01/2025 02:30","BZN|DE-LU","41952.85","43204.02"
"02/01/2025 02:30 - 02/01/2025 02:45","BZN|DE-LU","42150.30","43218.59"
"02/01/2025 02:45 - 02/01/2025 03:00","BZN|DE-LU","42322.86","43629.64"
"02/01/2025 03:00 - 02/01/2025 03:15","BZN|DE-LU","42486.60","44237.36"
"02/01/2025 03:15 - 02/01/2025 03:30","BZN|DE-LU","42030.54","44835.31"
"02/01/2025 03:30 - 02/01/2025 03:45","BZN|DE-LU","42338.23","45409.06"
"02/01/2025 03:45 - 02/01/2025 04:00","BZN|DE-LU","43061.18","46093.25"
"02/01/2025 04:00 - 02/01/2025 04:15","BZN|DE-LU","43210.20","47156.94"
"02/01/2025 04:15 - 02/01/2025 04:30","BZN|DE-LU","43772.59","47696.44"
"02/01/2025 04:30 - 02/01/2025 04:45","BZN|DE-LU","45035.48","49934.76"
"02/01/2025 04:45 - 02/01/2025 05:00","BZN|DE-LU","46012.48","51145.23"
"02/01/2025 05:00 - 02/01/2025 05:15","BZN|DE-LU","48338.78","53250.36"
"02/01/2025 05:15 - 02/01/2025 05:30","BZN|DE-LU","49329.74","54754.97"
"02/01/2025 05:30 - 02/01/2025 05:45","BZN|DE-LU","50760.78","55756.17"
"02/01/2025 05:45 - 02/01/2025 06:00","BZN|DE-LU","51658.80","56743.84"
"02/01/2025 06:00 - 02/01/2025 06:15","BZN|DE-LU","52832.78","57851.04"
"02/01/2025 06:15 - 02/01/2025 06:30","BZN|DE-LU","53949.02","59012.73"
"02/01/2025 06:30 - 02/01/2025 06:45","BZN|DE-LU","54559.48","59598.84"
"02/01/2025 06:45 - 02/01/2025 07:00","BZN|DE-LU","55358.42","60274.39"
"02/01/2025 07:00 - 02/01/2025 07:15","BZN|DE-LU","56840.29","60995.71"
"02/01/2025 07:15 - 02/01/2025 07:30","BZN|DE-LU","57479.26","61535.96"
"02/01/2025 07:30 - 02/01/2025 07:45","BZN|DE-LU","57761.12","62337.47"
"02/01/2025 07:45 - 02/01/2025 08:00","BZN|DE-LU","58537.48","62407.91"
"02/01/2025 08:00 - 02/01/2025 08:15","BZN|DE-LU","59373.98","62998.87"
"02/01/2025 08:15 - 02/01/2025 08:30","BZN|DE-LU","59892.61","63469.48"
"02/01/2025 08:30 - 02/01/2025 08:45","BZN|DE-LU","60120.32","63852.52"
"02/01/2025 08:45 - 02/01/2025 09:00","BZN|DE-LU","60180.49","64090.34"
"02/01/2025 09:00 - 02/01/2025 09:15","BZN|DE-LU","60149.82","64388.06"
"02/01/2025 09:15 - 02/01/2025 09:30","BZN|DE-LU","60440.87","64684.83"
"02/01/2025 09:30 - 02/01/2025 09:45","BZN|DE-LU","60852.78","64889.76"
"02/01/2025 09:45 - 02/01/2025 10:00","BZN|DE-LU","60781.89","65316.01"
"02/01/2025 10:00 - 02/01/2025 10:15","BZN|DE-LU","61001.90","65474.34"
"02/01/2025 10:15 - 02/01/2025 10:30","BZN|DE-LU","61470.11","65487.66"
"02/01/2025 10:30 - 02/01/2025 10:45","BZN|DE-LU","61848.83","65628.11"
"02/01/2025 10:45 - 02/01/2025 11:00","BZN|DE-LU","62140.13","65518.82"
"02/01/2025 11:00 - 02/01/2025 11:15","BZN|DE-LU","62352.51","65437.26"
"02/01/2025 11:15 - 02/01/2025 11:30","BZN|DE-LU","62412.46","65308.20"
"02/01/2025 11:30 - 02/01/2025 11:45","BZN|DE-LU","62289.41","65428.92"
"02/01/2025 11:45 - 02/01/2025 12:00","BZN|DE-LU","62179.80","65372.33"
"02/01/2025 12:00 - 02/01/2025 12:15","BZN|DE-LU","62427.13","65326.77"
"02/01/2025 12:15 - 02/01/2025 12:30","BZN|DE-LU","61967.51","65024.04"
"02/01/2025 12:30 - 02/01/2025 12:45","BZN|DE-LU","61592.11","64605.76"
"02/01/2025 12:45 - 02/01/2025 13:00","BZN|DE-LU","61262.67","64091.44"
"02/01/2025 13:00 - 02/01/2025 13:15","BZN|DE-LU","61142.78","63619.50"
"02/01/2025 13:15 - 02/01/2025 13:30","BZN|DE-LU","60472.10","63355.93"
"02/01/2025 13:30 - 02/01/2025 13:45","BZN|DE-LU","60389.45","62983.05"
"02/01/2025 13:45 - 02/01/2025 14:00","BZN|DE-LU","60090.61","62528.09"
"02/01/2025 14:00 - 02/01/2025 14:15","BZN|DE-LU","60192.98","62317.37"
"02/01/2025 14:15 - 02/01/2025 14:30","BZN|DE-LU","60073.59","61558.85"
"02/01/2025 14:30 - 02/01/2025 14:45","BZN|DE-LU","60277.73","62045.95"
"02/01/2025 14:45 - 02/01/2025 15:00","BZN|DE-LU","60429.26","61846.01"
"02/01/2025 15:00 - 02/01/2025 15:15","BZN|DE-LU","60570.44","61972.04"
"02/01/2025 15:15 - 02/01/2025 15:30","BZN|DE-LU","61152.83","62290.95"
"02/01/2025 15:30 - 02/01/2025 15:45","BZN|DE-LU","61409.68","62704.97"
"02/01/2025 15:45 - 02/01/2025 16:00","BZN|DE-LU","62097.16","63365.59"
"02/01/2025 16:00 - 02/01/2025 16:15","BZN|DE-LU","62598.73","64065.60"
"02/01/2025 16:15 - 02/01/2025 16:30","BZN|DE-LU","63173.06","64416.04"
"02/01/2025 16:30 - 02/01/2025 16:45","BZN|DE-LU","63832.59","64624.97"
"02/01/2025 16:45 - 02/01/2025 17:00","BZN|DE-LU","64307.96","64893.45"
"02/01/2025 17:00 - 02/01/2025 17:15","BZN|DE-LU","64046.77","64927.12"
"02/01/2025 17:15 - 02/01/2025 17:30","BZN|DE-LU","63684.07","64806.60"
"02/01/2025 17:30 - 02/01/2025 17:45","BZN|DE-LU","63307.06","64925.07"
"02/01/2025 17:45 - 02/01/2025 18:00","BZN|DE-LU","63258.99","64634.23"
"02/01/2025 18:00 - 02/01/2025 18:15","BZN|DE-LU","63196.57","64439.42"
"02/01/2025 18:15 - 02/01/2025 18:30","BZN|DE-LU","62673.51","64056.92"
"02/01/2025 18:30 - 02/01/2025 18:45","BZN|DE-LU","62470.75","63733.05"
"02/01/2025 18:45 - 02/01/2025 19:00","BZN|DE-LU","61956.48","62957.82"
"02/01/2025 19:00 - 02/01/2025 19:15","BZN|DE-LU","60694.75","61975.93"
"02/01/2025 19:15 - 02/01/2025 19:30","BZN|DE-LU","59992.09","60832.55"
"02/01/2025 19:30 - 02/01/2025 19:45","BZN|DE-LU","59085.71","59734.79"
"02/01/2025 19:45 - 02/01/2025 20:00","BZN|DE-LU","58288.15","58902.79"
"02/01/2025 20:00 - 02/01/2025 20:15","BZN|DE-LU","57536.29","57880.55"
"02/01/2025 20:15 - 02/01/2025 20:30","BZN|DE-LU","57228.02","57215.11"
"02/01/2025 20:30 - 02/01/2025 20:45","BZN|DE-LU","56757.82","56492.16"
"02/01/2025 20:45 - 02/01/2025 21:00","BZN|DE-LU","56148.32","55782.92"
"02/01/2025 21:00 - 02/01/2025 21:15","BZN|DE-LU","55782.13","55001.48"
"02/01/2025 21:15 - 02/01/2025 21:30","BZN|DE-LU","55209.20","54319.10"
"02/01/2025 21:30 - 02/01/2025 21:45","BZN|DE-LU","54419.98","53723.22"
"02/01/2025 21:45 - 02/01/2025 22:00","BZN|DE-LU","53387.76","53074.62"
"02/01/2025 22:00 - 02/01/2025 22:15","BZN|DE-LU","52885.92","51979.83"
"02/01/2025 22:15 - 02/01/2025 22:30","BZN|DE-LU","51575.63","51234.56"
"02/01/2025 22:30 - 02/01/2025 22:45","BZN|DE-LU","50526.16","50848.85"
"02/01/2025 22:45 - 02/01/2025 23:00","BZN|DE-LU","50278.26","50261.87"
"02/01/2025 23:00 - 02/01/2025 23:15","BZN|DE-LU","49020.22","49945.55"
"02/01/2025 23:15 - 02/01/2025 23:30","BZN|DE-LU","48426.26","49147.36"
"02/01/2025 23:30 - 02/01/2025 23:45","BZN|DE-LU","47836.49","49012.10"
"02/01/2025 23:45 - 03/01/2025 00:00","BZN|DE-LU","47281.62","48524.67"
"03/01/2025 00:00 - 03/01/2025 00:15","BZN|DE-LU","46708.82","48012.11"
"03/01/2025 00:15 - 03/01/2025 00:30","BZN|DE-LU","46498.80","47567.82"
"03/01/2025 00:30 - 03/01/2025 00:45","BZN|DE-LU","46375.50","47347.12"
"03/01/2025 00:45 - 03/01/2025 01:00","BZN|DE-LU","46104.60","46824.77"
"03/01/2025 01:00 - 03/01/2025 01:15","BZN|DE-LU","45874.32","46532.62"
"03/01/2025 01:15 - 03/01/2025 01:30","BZN|DE-LU","45896.88","46260.42"
"03/01/2025 01:30 - 03/01/2025 01:45","BZN|DE-LU","46095.43","46284.38"
"03/01/2025 01:45 - 03/01/2025 02:00","BZN|DE-LU","46309.39","46520.49"
"03/01/2025 02:00 - 03/01/2025 02:15","BZN|DE-LU","46468.07","46709.43"
"03/01/2025 02:15 - 03/01/2025 02:30","BZN|DE-LU","46245.90","46661.73"
"03/01/2025 02:30 - 03/01/2025 02:45","BZN|DE-LU","46198.01","46682.94"
"03/01/2025 02:45 - 03/01/2025 03:00","BZN|DE-LU","46352.31","47146.56"
"03/01/2025 03:00 - 03/01/2025 03:15","BZN|DE-LU","47150.03","47602.29"
"03/01/2025 03:15 - 03/01/2025 03:30","BZN|DE-LU","47636.94","48030.04"
"03/01/2025 03:30 - 03/01/2025 03:45","BZN|DE-LU","47600.73","48590.66"
"03/01/2025 03:45 - 03/01/2025 04:00","BZN|DE-LU","48075.75","49146.54"
"03/01/2025 04:00 - 03/01/2025 04:15","BZN|DE-LU","48573.41","50157.08"
"03/01/2025 04:15 - 03/01/2025 04:30","BZN|DE-LU","49168.04","50692.27"
"03/01/2025 04:30 - 03/01/2025 04:45","BZN|DE-LU","50069.10","51657.16"
"03/01/2025 04:45 - 03/01/2025 05:00","BZN|DE-LU","50924.94","52684.84"
"03/01/2025 05:00 - 03/01/2025 05:15","BZN|DE-LU","52034.90","54963.02"
"03/01/2025 05:15 - 03/01/2025 05:30","BZN|DE-LU","52648.95","56312.87"
"03/01/2025 05:30 - 03/01/2025 05:45","BZN|DE-LU","53562.96","57376.28"
"03/01/2025 05:45 - 03/01/2025 06:00","BZN|DE-LU","54539.57","58454.66"
"03/01/2025 06:00 - 03/01/2025 06:15","BZN|DE-LU","55357.96","59616.34"
"03/01/2025 06:15 - 03/01/2025 06:30","BZN|DE-LU","55941.21","60687.09"
"03/01/2025 06:30 - 03/01/2025 06:45","BZN|DE-LU","57148.60","61573.39"
"03/01/2025 06:45 - 03/01/2025 07:00","BZN|DE-LU","58205.29","62126.31"
"03/01/2025 07:00 - 03/01/2025 07:15","BZN|DE-LU","59204.41","63121.94"
"03/01/2025 07:15 - 03/01/2025 07:30","BZN|DE-LU","59514.54","63540.30"
"03/01/2025 07:30 - 03/01/2025 07:45","BZN|DE-LU","59895.17","64093.54"
"03/01/2025 07:45 - 03/01/2025 08:00","BZN|DE-LU","60448.58","64076.22"
"03/01/2025 08:00 - 03/01/2025 08:15","BZN|DE-LU","60929.24","64145.95"
"03/01/2025 08:15 - 03/01/2025 08:30","BZN|DE-LU","61207.99","64800.58"
"03/01/2025 08:30 - 03/01/2025 08:45","BZN|DE-LU","61424.68","65108.42"
"03/01/2025 08:45 - 03/01/2025 09:00","BZN|DE-LU","61825.23","65329.14"
"03/01/2025 09:00 - 03/01/2025 09:15","BZN|DE-LU","62018.01","65592.69"
"03/01/2025 09:15 - 03/01/2025 09:30","BZN|DE-LU","62557.48","65702.47"
"03/01/2025 09:30 - 03/01/2025 09:45","BZN|DE-LU","62861.84","65723.58"
"03/01/2025 09:45 - 03/01/2025 10:00","BZN|DE-LU","62719.83","65781.41"
"03/01/2025 10:00 - 03/01/2025 10:15","BZN|DE-LU","63006.63","65831.99"
"03/01/2025 10:15 - 03/01/2025 10:30","BZN|DE-LU","63520.69","66034.65"
"03/01/2025 10:30 - 03/01/2025 10:45","BZN|DE-LU","63417.51","66171.65"
"03/01/2025 10:45 - 03/01/2025 11:00","BZN|DE-LU","64039.38","65943.22"
"03/01/2025 11:00 - 03/01/2025 11:15","BZN|DE-LU","64550.14","65826.41"
"03/01/2025 11:15 - 03/01/2025 11:30","BZN|DE-LU","64318.74","65531.12"
"03/01/2025 11:30 - 03/01/2025 11:45","BZN|DE-LU","63726.60","65652.85"
"03/01/2025 11:45 - 03/01/2025 12:00","BZN|DE-LU","63749.61","65230.50"
"03/01/2025 12:00 - 03/01/2025 12:15","BZN|DE-LU","63504.90","65239.15"
"03/01/2025 12:15 - 03/01/2025 12:30","BZN|DE-LU","63155.10","64488.74"
"03/01/2025 12:30 - 03/01/2025 12:45","BZN|DE-LU","63018.76","64020.90"
"03/01/2025 12:45 - 03/01/2025 13:00","BZN|DE-LU","62427.09","63336.48"
"03/01/2025 13:00 - 03/01/2025 13:15","BZN|DE-LU","63349.95","62912.93"
"03/01/2025 13:15 - 03/01/2025 13:30","BZN|DE-LU","62753.84","62592.37"
"03/01/2025 13:30 - 03/01/2025 13:45","BZN|DE-LU","62519.46","62234.49"
"03/01/2025 13:45 - 03/01/2025 14:00","BZN|DE-LU","62125.74","61878.00"
"03/01/2025 14:00 - 03/01/2025 14:15","BZN|DE-LU","62906.79","61779.61"
"03/01/2025 14:15 - 03/01/2025 14:30","BZN|DE-LU","62717.67","60597.93"
"03/01/2025 14:30 - 03/01/2025 14:45","BZN|DE-LU","62652.95","61200.76"
"03/01/2025 14:45 - 03/01/2025 15:00","BZN|DE-LU","62869.46","60978.30"
"03/01/2025 15:00 - 03/01/2025 15:15","BZN|DE-LU","63121.89","61189.40"
"03/01/2025 15:15 - 03/01/2025 15:30","BZN|DE-LU","63146.26","61424.92"
"03/01/2025 15:30 - 03/01/2025 15:45","BZN|DE-LU","63978.85","62035.17"
"03/01/2025 15:45 - 03/01/2025 16:00","BZN|DE-LU","64706.95","62751.16"
"03/01/2025 16:00 - 03/01/2025 16:15","BZN|DE-LU","65772.71","63933.39"
"03/01/2025 16:15 - 03/01/2025 16:30","BZN|DE-LU","66201.93","64342.36"
"03/01/2025 16:30 - 03/01/2025 16:45","BZN|DE-LU","66184.35","64481.64"
"03/01/2025 16:45 - 03/01/2025 17:00","BZN|DE-LU","66004.14","64767.03"
"03/01/2025 17:00 - 03/01/2025 17:15","BZN|DE-LU","65590.94","64966.20"
"03/01/2025 17:15 - 03/01/2025 17:30","BZN|DE-LU","65095.89","64802.03"
"03/01/2025 17:30 - 03/01/2025 17:45","BZN|DE-LU","64877.51","64485.38"
"03/01/2025 17:45 - 03/01/2025 18:00","BZN|DE-LU","64825.17","64307.10"
"03/01/2025 18:00 - 03/01/2025 18:15","BZN|DE-LU","64470.15","63730.50"
"03/01/2025 18:15 - 03/01/2025 18:30","BZN|DE-LU","63795.65","62816.04"
"03/01/2025 18:30 - 03/01/2025 18:45","BZN|DE-LU","63228.61","62205.31"
"03/01/2025 18:45 - 03/01/2025 19:00","BZN|DE-LU","62700.31","61559.89"
"03/01/2025 19:00 - 03/01/2025 19:15","BZN|DE-LU","61733.71","60619.20"
"03/01/2025 19:15 - 03/01/2025 19:30","BZN|DE-LU","61041.01","59488.72"
"03/01/2025 19:30 - 03/01/2025 19:45","BZN|DE-LU","60333.72","58484.22"
"03/01/2025 19:45 - 03/01/2025 20:00","BZN|DE-LU","59755.73","57680.85"
"03/01/2025 20:00 - 03/01/2025 20:15","BZN|DE-LU","59430.15","56836.03"
"03/01/2025 20:15 - 03/01/2025 20:30","BZN|DE-LU","59126.59","56228.63"
"03/01/2025 20:30 - 03/01/2025 20:45","BZN|DE-LU","58663.92","55411.82"
"03/01/2025 20:45 - 03/01/2025 21:00","BZN|DE-LU","57825.46","54675.47"
"03/01/2025 21:00 - 03/01/2025 21:15","BZN|DE-LU","57053.99","54049.55"
"03/01/2025 21:15 - 03/01/2025 21:30","BZN|DE-LU","56421.61","53498.27"
"03/01/2025 21:30 - 03/01/2025 21:45","BZN|DE-LU","55696.58","52865.57"
"03/01/2025 21:45 - 03/01/2025 22:00","BZN|DE-LU","55030.59","52272.72"
"03/01/2025 22:00 - 03/01/2025 22:15","BZN|DE-LU","54468.87","50972.54"
"03/01/2025 22:15 - 03/01/2025 22:30","BZN|DE-LU","53752.75","50341.02"
"03/01/2025 22:30 - 03/01/2025 22:45","BZN|DE-LU","53025.93","49792.48"
"03/01/2025 22:45 - 03/01/2025 23:00","BZN|DE-LU","51957.76","49188.54"
"03/01/2025 23:00 - 03/01/2025 23:15","BZN|DE-LU","51395.60","48811.34"
"03/01/2025 23:15 - 03/01/2025 23:30","BZN|DE-LU","51098.96","48368.33"
"03/01/2025 23:30 - 03/01/2025 23:45","BZN|DE-LU","50531.83","47951.08"
"03/01/2025 23:45 - 04/01/2025 00:00","BZN|DE-LU","50082.62","47482.01"
"04/01/2025 00:00 - 04/01/2025 00:15","BZN|DE-LU","49627.25","46993.20"
"04/01/2025 00:15 - 04/01/2025 00:30","BZN|DE-LU","49112.49","46580.53"
"04/01/2025 00:30 - 04/01/2025 00:45","BZN|DE-LU","48720.38","46423.08"
"04/01/2025 00:45 - 04/01/2025 01:00","BZN|DE-LU","48037.06","45755.19"
"04/01/2025 01:00 - 04/01/2025 01:15","BZN|DE-LU","47196.17","45622.10"
"04/01/2025 01:15 - 04/01/2025 01:30","BZN|DE-LU","46898.40","45266.61"
"04/01/2025 01:30 - 04/01/2025 01:45","BZN|DE-LU","46522.48","45064.74"
"04/01/2025 01:45 - 04/01/2025 02:00","BZN|DE-LU","46160.54","45006.44"
"04/01/2025 02:00 - 04/01/2025 02:15","BZN|DE-LU","46008.65","44624.95"
"04/01/2025 02:15 - 04/01/2025 02:30","BZN|DE-LU","45710.76","44371.53"
"04/01/2025 02:30 - 04/01/2025 02:45","BZN|DE-LU","45494.77","44357.18"
"04/01/2025 02:45 - 04/01/2025 03:00","BZN|DE-LU","45061.15","44260.21"
"04/01/2025 03:00 - 04/01/2025 03:15","BZN|DE-LU","45184.95","44656.94"
"04/01/2025 03:15 - 04/01/2025 03:30","BZN|DE-LU","44745.71","44483.56"
